Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,City,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
IN-2019-103754,2019-01-17,2019-01-22,CUST-0338,Customer 0338,Corporate,India,Pune,West,Tec-Pho-326,Technology,Phones,Phones Item 28,116953.96,6,0.0,29238.49
IN-2019-104471,2019-01-17,2019-01-21,CUST-0497,Customer 0497,Consumer,India,Mumbai,West,Fur-Cha-105,Furniture,Chairs,Chairs Item 26,38787.32,4,0.0,1939.37
IN-2021-101070,2019-01-18,2019-01-21,CUST-0462,Customer 0462,Corporate,India,Jaipur,North,Tec-Mac-848,Technology,Machines,Machines Item 2,32628.75,10,0.5,-16314.38
IN-2019-104564,2019-01-18,2019-01-22,CUST-0411,Customer 0411,Home Office,India,Jaipur,North,Tec-Acc-373,Technology,Accessories,Accessories Item 42,11643.42,2,0.0,2910.85
IN-2019-100134,2019-01-18,2019-01-23,CUST-0211,Customer 0211,Consumer,India,Lucknow,North,Tec-Mac-117,Technology,Machines,Machines Item 33,119647.61,7,0.0,29911.9
IN-2019-103276,2019-01-19,2019-01-21,CUST-0075,Customer 0075,Corporate,India,Jaipur,North,Off-Art-311,Office Supplies,Art,Art Item 39,423.97,4,0.0,63.6
IN-2020-102697,2019-01-19,2019-01-23,CUST-0147,Customer 0147,Consumer,India,Ahmedabad,West,Off-Pap-802,Office Supplies,Paper,Paper Item 10,37030.29,10,0.1,2057.24
IN-2019-101990,2019-01-19,2019-01-26,CUST-0277,Customer 0277,Corporate,India,Lucknow,North,Fur-Boo-559,Furniture,Bookcases,Bookcases Item 3,21631.01,3,0.1,-1201.72
IN-2021-104229,2019-01-19,2019-01-21,CUST-0131,Customer 0131,Home Office,India,Hyderabad,South,Tec-Mac-595,Technology,Machines,Machines Item 40,45266.3,7,0.2,2829.14
IN-2020-102282,2019-01-20,2019-01-24,CUST-0217,Customer 0217,Home Office,India,Chandigarh,North,Off-Bin-881,Office Supplies,Binders,Binders Item 6,9336.51,7,0.2,-583.53
IN-2022-102488,2019-01-20,2019-01-27,CUST-0298,Customer 0298,Home Office,India,Jaipur,North,Off-Sto-746,Office Supplies,Storage,Storage Item 44,36949.92,8,0.0,5542.49
IN-2019-102881,2019-01-20,2019-01-27,CUST-0074,Customer 0074,Home Office,India,Chennai,South,Fur-Boo-442,Furniture,Bookcases,Bookcases Item 21,12893.06,1,0.0,644.65
IN-2019-103949,2019-01-21,2019-01-22,CUST-0067,Customer 0067,Consumer,India,Pune,West,Fur-Tab-614,Furniture,Tables,Tables Item 35,47051.47,5,0.0,2352.57
IN-2019-100234,2019-01-22,2019-01-25,CUST-0229,Customer 0229,Consumer,India,Pune,West,Fur-Fur-490,Furniture,Furnishings,Furnishings Item 8,71893.6,7,0.1,-3994.09
IN-2021-100010,2019-01-23,2019-01-29,CUST-0031,Customer 0031,Consumer,India,Delhi,North,Off-Sto-626,Office Supplies,Storage,Storage Item 16,2993.31,5,0.2,-187.08
IN-2022-102701,2019-01-23,2019-01-29,CUST-0425,Customer 0425,Corporate,India,Kochi,South,Off-Sto-617,Office Supplies,Storage,Storage Item 1,17109.95,5,0.0,2566.49
IN-2020-104382,2019-01-23,2019-01-25,CUST-0341,Customer 0341,Corporate,India,Ahmedabad,West,Fur-Boo-826,Furniture,Bookcases,Bookcases Item 18,55254.06,7,0.0,2762.7
IN-2022-104639,2019-01-23,2019-01-24,CUST-0080,Customer 0080,Home Office,India,Jaipur,North,Fur-Fur-343,Furniture,Furnishings,Furnishings Item 36,16975.99,5,0.0,848.8
IN-2019-103123,2019-01-23,2019-01-25,CUST-0106,Customer 0106,Consumer,India,Chandigarh,North,Fur-Boo-101,Furniture,Bookcases,Bookcases Item 11,58039.47,7,0.0,2901.97
IN-2020-102115,2019-01-23,2019-01-26,CUST-0428,Customer 0428,Corporate,India,Lucknow,North,Fur-Boo-373,Furniture,Bookcases,Bookcases Item 19,16339.14,5,0.2,-3063.59
IN-2020-101411,2019-01-24,2019-01-30,CUST-0275,Customer 0275,Corporate,India,Mumbai,West,Off-Art-696,Office Supplies,Art,Art Item 6,7327.89,6,0.0,1099.18
IN-2020-103179,2019-01-24,2019-01-31,CUST-0500,Customer 0500,Home Office,India,Hyderabad,South,Off-Pap-557,Office Supplies,Paper,Paper Item 44,8361.5,8,0.1,464.53
IN-2021-101865,2019-01-24,2019-01-31,CUST-0184,Customer 0184,Consumer,India,Kochi,South,Tec-Acc-298,Technology,Accessories,Accessories Item 9,92137.06,8,0.0,23034.26
IN-2022-103461,2019-01-24,2019-01-27,CUST-0021,Customer 0021,Home Office,India,Chennai,South,Off-Sto-105,Office Supplies,Storage,Storage Item 29,23723.49,8,0.1,1317.97
IN-2020-102121,2019-01-26,2019-02-01,CUST-0472,Customer 0472,Consumer,India,Surat,West,Tec-Mac-257,Technology,Machines,Machines Item 12,158806.02,10,0.1,26467.67
IN-2022-101908,2019-01-26,2019-02-01,CUST-0291,Customer 0291,Corporate,India,Lucknow,North,Fur-Boo-452,Furniture,Bookcases,Bookcases Item 30,106314.0,9,0.0,5315.7
IN-2021-102666,2019-01-26,2019-02-01,CUST-0471,Customer 0471,Corporate,India,Kolkata,East,Tec-Cop-811,Technology,Copiers,Copiers Item 6,14987.98,2,0.0,3746.99
IN-2020-103689,2019-01-26,2019-01-29,CUST-0229,Customer 0229,Home Office,India,Chandigarh,North,Fur-Cha-800,Furniture,Chairs,Chairs Item 38,58462.15,7,0.2,-10961.65
IN-2022-103262,2019-01-27,2019-01-28,CUST-0003,Customer 0003,Corporate,India,Chennai,South,Fur-Fur-957,Furniture,Furnishings,Furnishings Item 18,20849.02,4,0.2,-3909.19
IN-2020-100404,2019-01-27,2019-02-02,CUST-0340,Customer 0340,Consumer,India,Pune,West,Off-Bin-416,Office Supplies,Binders,Binders Item 41,16326.37,6,0.0,2448.96
IN-2020-100953,2019-01-27,2019-01-29,CUST-0245,Customer 0245,Consumer,India,Jaipur,North,Tec-Cop-498,Technology,Copiers,Copiers Item 5,6751.76,1,0.0,1687.94
IN-2021-102658,2019-01-27,2019-01-31,CUST-0152,Customer 0152,Consumer,India,Surat,West,Off-Pap-315,Office Supplies,Paper,Paper Item 3,5954.4,9,0.2,-372.15
IN-2021-102104,2019-01-27,2019-01-28,CUST-0068,Customer 0068,Home Office,India,Surat,West,Fur-Cha-795,Furniture,Chairs,Chairs Item 40,55851.25,6,0.2,-10472.11
IN-2022-102577,2019-01-28,2019-02-01,CUST-0393,Customer 0393,Corporate,India,Lucknow,North,Fur-Tab-499,Furniture,Tables,Tables Item 30,99451.0,8,0.0,4972.55
IN-2022-103071,2019-01-28,2019-02-04,CUST-0209,Customer 0209,Corporate,India,Chennai,South,Off-Bin-538,Office Supplies,Binders,Binders Item 35,14734.28,9,0.0,2210.14
IN-2019-101710,2019-01-28,2019-01-30,CUST-0112,Customer 0112,Home Office,India,Lucknow,North,Off-Bin-750,Office Supplies,Binders,Binders Item 40,1049.13,1,0.0,157.37
IN-2022-103427,2019-02-01,2019-02-04,CUST-0331,Customer 0331,Home Office,India,Ahmedabad,West,Off-Sto-954,Office Supplies,Storage,Storage Item 49,5512.32,2,0.0,826.85
IN-2022-102688,2019-02-01,2019-02-07,CUST-0127,Customer 0127,Consumer,India,Chandigarh,North,Off-Art-659,Office Supplies,Art,Art Item 26,32005.41,9,0.1,1778.08
IN-2020-103809,2019-02-02,2019-02-09,CUST-0100,Customer 0100,Consumer,India,Surat,West,Off-Bin-318,Office Supplies,Binders,Binders Item 36,1553.06,1,0.0,232.96
IN-2020-100804,2019-02-02,2019-02-08,CUST-0072,Customer 0072,Consumer,India,Mumbai,West,Fur-Cha-835,Furniture,Chairs,Chairs Item 6,9821.53,1,0.1,-545.64
IN-2021-103237,2019-02-02,2019-02-05,CUST-0317,Customer 0317,Home Office,India,Bhubaneswar,East,Off-Pap-870,Office Supplies,Paper,Paper Item 16,1837.0,9,0.1,102.06
IN-2020-101941,2019-02-03,2019-02-04,CUST-0092,Customer 0092,Home Office,India,Bangalore,South,Off-Sto-798,Office Supplies,Storage,Storage Item 39,14239.62,6,0.1,791.09
IN-2021-103148,2019-02-03,2019-02-07,CUST-0029,Customer 0029,Home Office,India,Surat,West,Tec-Cop-348,Technology,Copiers,Copiers Item 29,17544.74,3,0.1,2924.12
IN-2021-102798,2019-02-04,2019-02-06,CUST-0173,Customer 0173,Corporate,India,Surat,West,Off-Sto-399,Office Supplies,Storage,Storage Item 38,23176.98,10,0.2,-1448.56
IN-2019-102948,2019-02-05,2019-02-08,CUST-0436,Customer 0436,Consumer,India,Bhubaneswar,East,Off-Art-387,Office Supplies,Art,Art Item 19,20332.81,10,0.1,1129.6
IN-2019-100844,2019-02-06,2019-02-08,CUST-0068,Customer 0068,Home Office,India,Mumbai,West,Off-Bin-475,Office Supplies,Binders,Binders Item 45,22047.98,7,0.1,1224.89
IN-2020-100882,2019-02-06,2019-02-09,CUST-0170,Customer 0170,Consumer,India,Delhi,North,Fur-Cha-941,Furniture,Chairs,Chairs Item 13,38143.45,3,0.0,1907.17
IN-2022-104568,2019-02-06,2019-02-08,CUST-0018,Customer 0018,Consumer,India,Chennai,South,Fur-Boo-125,Furniture,Bookcases,Bookcases Item 41,19670.04,10,0.5,-17703.04
IN-2019-100163,2019-02-07,2019-02-11,CUST-0040,Customer 0040,Consumer,India,Patna,East,Fur-Cha-812,Furniture,Chairs,Chairs Item 22,14980.16,2,0.0,749.01
IN-2022-104332,2019-02-07,2019-02-14,CUST-0350,Customer 0350,Home Office,India,Mumbai,West,Tec-Acc-958,Technology,Accessories,Accessories Item 10,34803.63,3,0.0,8700.91
IN-2021-100579,2019-02-07,2019-02-13,CUST-0097,Customer 0097,Corporate,India,Pune,West,Tec-Cop-321,Technology,Copiers,Copiers Item 23,77142.61,4,0.0,19285.65
IN-2020-100336,2019-02-08,2019-02-12,CUST-0323,Customer 0323,Home Office,India,Mumbai,West,Tec-Mac-727,Technology,Machines,Machines Item 4,62522.39,6,0.2,3907.65
IN-2020-103441,2019-02-08,2019-02-13,CUST-0080,Customer 0080,Home Office,India,Jaipur,North,Tec-Cop-866,Technology,Copiers,Copiers Item 20,77338.09,10,0.1,12889.68
IN-2022-102614,2019-02-08,2019-02-12,CUST-0370,Customer 0370,Corporate,India,Chennai,South,Tec-Mac-102,Technology,Machines,Machines Item 15,179033.07,9,0.0,44758.27
IN-2022-103904,2019-02-08,2019-02-13,CUST-0194,Customer 0194,Home Office,India,Mumbai,West,Fur-Tab-690,Furniture,Tables,Tables Item 29,30056.74,7,0.0,1502.84
IN-2019-100156,2019-02-09,2019-02-16,CUST-0279,Customer 0279,Corporate,India,Kolkata,East,Tec-Cop-659,Technology,Copiers,Copiers Item 14,45753.73,7,0.0,11438.43
IN-2020-100140,2019-02-09,2019-02-11,CUST-0195,Customer 0195,Home Office,India,Pune,West,Tec-Cop-424,Technology,Copiers,Copiers Item 24,11471.05,2,0.1,1911.84
IN-2019-100636,2019-02-09,2019-02-14,CUST-0106,Customer 0106,Corporate,India,Ahmedabad,West,Fur-Boo-830,Furniture,Bookcases,Bookcases Item 20,31346.38,6,0.1,-1741.47
IN-2020-104349,2019-02-10,2019-02-12,CUST-0138,Customer 0138,Consumer,India,Hyderabad,South,Off-Pap-630,Office Supplies,Paper,Paper Item 38,40166.06,10,0.0,6024.91
IN-2019-101254,2019-02-11,2019-02-18,CUST-0118,Customer 0118,Consumer,India,Lucknow,North,Fur-Boo-587,Furniture,Bookcases,Bookcases Item 47,60944.35,6,0.1,-3385.8
IN-2019-100776,2019-02-11,2019-02-13,CUST-0188,Customer 0188,Consumer,India,Kochi,South,Fur-Boo-142,Furniture,Bookcases,Bookcases Item 23,11179.7,1,0.2,-2096.19
IN-2020-102369,2019-02-12,2019-02-15,CUST-0397,Customer 0397,Home Office,India,Surat,West,Tec-Pho-468,Technology,Phones,Phones Item 32,28484.35,4,0.2,1780.27
IN-2019-101108,2019-02-12,2019-02-15,CUST-0333,Customer 0333,Home Office,India,Mumbai,West,Fur-Cha-255,Furniture,Chairs,Chairs Item 31,8562.79,3,0.0,428.14
IN-2021-104990,2019-02-12,2019-02-17,CUST-0001,Customer 0001,Home Office,India,Ahmedabad,West,Off-Bin-743,Office Supplies,Binders,Binders Item 25,2000.14,3,0.1,111.12
IN-2020-102933,2019-02-13,2019-02-17,CUST-0005,Customer 0005,Home Office,India,Chandigarh,North,Fur-Tab-208,Furniture,Tables,Tables Item 9,64584.99,5,0.0,3229.25
IN-2020-101702,2019-02-14,2019-02-17,CUST-0182,Customer 0182,Corporate,India,Lucknow,North,Off-Art-410,Office Supplies,Art,Art Item 16,6627.05,2,0.0,994.06
IN-2020-105000,2019-02-14,2019-02-15,CUST-0270,Customer 0270,Consumer,India,Hyderabad,South,Off-Bin-990,Office Supplies,Binders,Binders Item 38,459.78,5,0.2,-28.74
IN-2019-100672,2019-02-14,2019-02-20,CUST-0040,Customer 0040,Corporate,India,Delhi,North,Fur-Cha-270,Furniture,Chairs,Chairs Item 13,27821.12,8,0.0,1391.06
IN-2020-104595,2019-02-14,2019-02-15,CUST-0276,Customer 0276,Consumer,India,Surat,West,Off-Pap-263,Office Supplies,Paper,Paper Item 23,23320.61,5,0.0,3498.09
IN-2022-102995,2019-02-15,2019-02-18,CUST-0063,Customer 0063,Corporate,India,Chennai,South,Off-Art-521,Office Supplies,Art,Art Item 10,3546.12,5,0.0,531.92
IN-2020-104305,2019-02-15,2019-02-19,CUST-0309,Customer 0309,Home Office,India,Ahmedabad,West,Fur-Fur-577,Furniture,Furnishings,Furnishings Item 41,14904.3,1,0.0,745.22
IN-2021-104273,2019-02-15,2019-02-16,CUST-0019,Customer 0019,Corporate,India,Lucknow,North,Tec-Cop-113,Technology,Copiers,Copiers Item 40,6418.82,1,0.0,1604.7
IN-2022-100352,2019-02-16,2019-02-21,CUST-0410,Customer 0410,Home Office,India,Chennai,South,Off-Pap-930,Office Supplies,Paper,Paper Item 48,20455.67,7,0.0,3068.35
IN-2020-101742,2019-02-16,2019-02-22,CUST-0111,Customer 0111,Corporate,India,Surat,West,Fur-Tab-827,Furniture,Tables,Tables Item 34,46318.32,7,0.0,2315.92
IN-2020-103582,2019-02-17,2019-02-22,CUST-0311,Customer 0311,Consumer,India,Kolkata,East,Off-Sto-101,Office Supplies,Storage,Storage Item 34,3549.23,8,0.1,197.18
IN-2020-104738,2019-02-17,2019-02-24,CUST-0482,Customer 0482,Corporate,India,Lucknow,North,Fur-Tab-336,Furniture,Tables,Tables Item 6,50361.6,8,0.5,-45325.44
IN-2021-100670,2019-02-18,2019-02-20,CUST-0107,Customer 0107,Corporate,India,Kolkata,East,Fur-Boo-731,Furniture,Bookcases,Bookcases Item 31,75867.11,9,0.1,-4214.84
IN-2021-103670,2019-02-18,2019-02-19,CUST-0255,Customer 0255,Corporate,India,Lucknow,North,Fur-Tab-431,Furniture,Tables,Tables Item 18,83038.87,6,0.0,4151.94
IN-2022-104980,2019-02-18,2019-02-25,CUST-0063,Customer 0063,Corporate,India,Guwahati,East,Fur-Boo-207,Furniture,Bookcases,Bookcases Item 36,48257.32,8,0.2,-9048.25
IN-2022-102416,2019-02-19,2019-02-22,CUST-0173,Customer 0173,Home Office,India,Chennai,South,Off-Art-843,Office Supplies,Art,Art Item 8,8962.43,4,0.1,497.91
IN-2019-100397,2019-02-19,2019-02-22,CUST-0140,Customer 0140,Consumer,India,Patna,East,Off-Art-455,Office Supplies,Art,Art Item 5,16754.69,5,0.0,2513.2
IN-2021-101998,2019-02-19,2019-02-22,CUST-0219,Customer 0219,Home Office,India,Surat,West,Off-Bin-128,Office Supplies,Binders,Binders Item 32,24109.34,8,0.0,3616.4
IN-2019-103981,2019-02-19,2019-02-20,CUST-0086,Customer 0086,Consumer,India,Ahmedabad,West,Tec-Mac-961,Technology,Machines,Machines Item 44,67547.43,10,0.2,4221.71
IN-2020-101622,2019-02-20,2019-02-26,CUST-0079,Customer 0079,Home Office,India,Guwahati,East,Off-Bin-856,Office Supplies,Binders,Binders Item 41,462.92,3,0.5,-324.04
IN-2019-100936,2019-02-20,2019-02-22,CUST-0124,Customer 0124,Home Office,India,Chandigarh,North,Off-Art-237,Office Supplies,Art,Art Item 26,12555.42,6,0.0,1883.31
IN-2020-101587,2019-02-20,2019-02-26,CUST-0392,Customer 0392,Home Office,India,Patna,East,Off-Sto-188,Office Supplies,Storage,Storage Item 36,1153.68,2,0.5,-807.58
IN-2022-104703,2019-02-20,2019-02-22,CUST-0170,Customer 0170,Consumer,India,Ahmedabad,West,Tec-Acc-505,Technology,Accessories,Accessories Item 46,145632.18,9,0.1,24272.03
IN-2021-102543,2019-02-20,2019-02-26,CUST-0083,Customer 0083,Corporate,India,Mumbai,West,Fur-Boo-794,Furniture,Bookcases,Bookcases Item 4,49247.92,7,0.2,-9233.98
IN-2021-104206,2019-02-20,2019-02-24,CUST-0415,Customer 0415,Home Office,India,Kochi,South,Tec-Mac-562,Technology,Machines,Machines Item 21,144998.89,9,0.0,36249.72
IN-2021-104700,2019-02-21,2019-02-26,CUST-0018,Customer 0018,Home Office,India,Pune,West,Tec-Acc-982,Technology,Accessories,Accessories Item 35,10680.5,1,0.1,1780.08
IN-2022-102683,2019-02-21,2019-02-28,CUST-0297,Customer 0297,Home Office,India,Delhi,North,Off-Bin-985,Office Supplies,Binders,Binders Item 15,4895.44,10,0.0,734.32
IN-2020-100504,2019-02-21,2019-02-26,CUST-0398,Customer 0398,Corporate,India,Ahmedabad,West,Tec-Acc-866,Technology,Accessories,Accessories Item 26,25481.52,5,0.0,6370.38
IN-2020-102444,2019-02-21,2019-02-27,CUST-0090,Customer 0090,Home Office,India,Surat,West,Off-Sto-353,Office Supplies,Storage,Storage Item 5,7949.02,2,0.2,-496.81
IN-2021-103403,2019-02-21,2019-02-27,CUST-0144,Customer 0144,Corporate,India,Bangalore,South,Fur-Boo-880,Furniture,Bookcases,Bookcases Item 47,83802.72,8,0.0,4190.14
IN-2021-100194,2019-02-22,2019-02-25,CUST-0414,Customer 0414,Home Office,India,Chennai,South,Tec-Pho-960,Technology,Phones,Phones Item 25,101515.33,9,0.0,25378.83
IN-2021-103448,2019-02-22,2019-02-28,CUST-0443,Customer 0443,Consumer,India,Ahmedabad,West,Fur-Fur-147,Furniture,Furnishings,Furnishings Item 21,46435.43,10,0.0,2321.77
IN-2019-103930,2019-02-22,2019-02-27,CUST-0194,Customer 0194,Corporate,India,Bangalore,South,Fur-Fur-195,Furniture,Furnishings,Furnishings Item 48,77852.35,7,0.0,3892.62
IN-2021-102564,2019-02-22,2019-02-27,CUST-0029,Customer 0029,Corporate,India,Hyderabad,South,Tec-Acc-147,Technology,Accessories,Accessories Item 50,98753.02,10,0.5,-49376.51
IN-2020-103498,2019-02-23,2019-02-27,CUST-0210,Customer 0210,Home Office,India,Chandigarh,North,Tec-Pho-843,Technology,Phones,Phones Item 3,18869.79,1,0.0,4717.45
IN-2022-104082,2019-02-23,2019-03-02,CUST-0071,Customer 0071,Home Office,India,Patna,East,Off-Pap-528,Office Supplies,Paper,Paper Item 46,9444.67,10,0.1,524.7
IN-2022-104474,2019-02-23,2019-02-25,CUST-0414,Customer 0414,Corporate,India,Guwahati,East,Fur-Fur-802,Furniture,Furnishings,Furnishings Item 33,35788.74,3,0.1,-1988.26
IN-2020-104810,2019-02-23,2019-02-24,CUST-0030,Customer 0030,Home Office,India,Kochi,South,Tec-Mac-289,Technology,Machines,Machines Item 11,67325.98,4,0.0,16831.49
